ID,SeasonID,EventName,ordernumber,eventreport,social
Perhaps the only other event of note was the final evening. Having given up on a night out in Shrewsbury due to a lack of taxis, our intrepid bunch of boaties decided to get pissed in the accommodation before wandering down dark country roads into the bright neon lights of the metropolis of Much Wenlock. Beef Szechuan and chips for dinner, a visit to the Spar for more supplies, hitching a lift back with some chavs, a few rounds of I Have Never, and before you know it most people were naked after 5 minutes of strip poker. I think the Christian Church group in the barn across the courtyard appreciated the view. And if any pictures make it onto Facebook, you're dead. Analysis of the photos which do survive shows that Alice did a good job of pretending to be asleep to avoid getting jiggy with James, but sadly there is no video evidence of Justin's death defying leap headfirst down the stairs. We're hoping that the hole he made in the wall with his head won't get noticed by the owners.<br><br>
 
All-in-all it was a real success so thank you to the organisers, the coaches, and the dickheads who have given us all these stories to tell. Lots of rowing got done, there was much giggling, and things are looking good for both squads for the Mays. As long as no schoolboys enter.
<br><br>
<b>Dominic Mott</b>,2
174,10,Bedford Regatta,74,<b>13/05/06</b>,0
175,10,Champions VIIIs Head,75,<b>22/05/06</b> 1,300m head race from the Plough reach to the P&E.,2
176,10,The Mays - Wednesday,77,<b>14/06/2006</b>,2
177,10,The Mays - G.o.R.,76,<B>09/06/2006</b>,0
178,10,The Mays - Thursday,78,<b>15/06/2006</b>,2
179,10,The Mays - Friday,79,<B>16/06/2006</B>,2
180,10,The Mays - Saturday,80,<B>17/06/2006</B>,2
181,10,The Henley Qualifiers,81,<b>23/06/2006</b> Entering for the second year running, Queens' M1 returned to Henley to attempt another qualification. ,2
182,10,Henley Royal Regatta,82,<b>28/06/06 - 02/07/06</b> The official website: <a href="http://www.hrr.co.uk/">http://www.hrr.co.uk/</a> has all the latest on the race results. ,2
183,11,Queens' Ergs,1,<b>31/10/06</b> Sponsored by Schroeders, Queens' once again played host to the second largest indoor rowing event in Britain (after the British Indoor Rowing Championships) - over 100 crews racing in a 8x500m relay to the tune of such classics as "eye of the tiger" and "dangerzone", erging themselves into shattered insanity. What more could you want?!

<p> This year was dominated by the success Queens' rowers - the event was a huge success and thoroughly enjoyed by all concerned. Bring on Queens' Ergs 2007!,0
184,11,Cambridge Autumn Head,1,Head race on Bumps course from the Motorway Bridge, upstream to the post by Chesterton Footbridge. Race run by Rob Roy BC, full results available via <a href="http://www.robroyboatclub.org.uk/">http://www.robroyboatclub.org.uk/</a>.,0
185,11,University IVs,2,<b>30/10/06 - 03/11/06</b> The Uni IVs is a knock out competition, raced in chasing style. The two crews start 100m apart at the motorway bridge, and begin simultaneously on "attention, go". The winner is the first to cross their respective finish line 100m apart just short of the railway bridge. The event winners qualify for University Medals and Blades.
,0
186,11,Cambridge Winter Head,4,<b>11/11/06</b> Head race on Bumps course from the Motorway Bridge, upstream to a ribbon line opposite the P&E pub. Race run by Cantabrigans, full results available via <a href="http://www.cantabsrowing.org.uk/">http://www.cantabsrowing.org.uk/</a>,0
187,11,HORR IV,5,<b>18/11/06</b> Fours race on the Tideway, four and a quarter miles over the Champtionship (Boat Race) Course in reverse. Over 500 crews usually compete, from clubs around the world. Full results available via <a href="http://www.hor4s.org.uk/">http://www.hor4s.org.uk/</a>,0
188,11,Emma Sprints,6,<b>19/11/06</b> Informal regatta style race over 500m up and down the Reach. Crews dress in fancy dress and are given forfeits and headstarts before the race. Usually a fun race to enter, but somewhat marred this year by a spectacular lack of organisation by the race coordinators, which resulted in a obligatory scratching of the top two mens crews. We will be reviewing our entry policy next year...,0
189,11,Clare Novice Regatta,7,<b>23/11/06-25/11/06</b> Regatta race over 700m from the bottom of the Reach to Morley's Holt (just short of the P&E). ,0
190,11,Fairbairns,8,<b>30/11/06-01/12/06</b> Novice Fairbairns - Head race over 2700m from Jesus Boathouse flagpole to the Railings (on the reach). Senior Fairbairns IVs - Head race over 3400m from Jesus Boathouse flagpole to the Red Grind (opposite the Plough) Senior Fairbairns VIIIs - Head race over 4300m from Jesus Boathouse flagpole to the Little Bridge (just past the Motorway Bridge). 

<p>Race organised by Jesus College Boat Club, full results available via <a href="http://jcbc.jesus.cam.ac.uk/Fairbairns/">http://jcbc.jesus.cam.ac.uk/Fairbairns/</a>,0
